Edad/Canton,SANJOSE,ESCAZU,DESAMPARADO,PURISCAL,TARRAZU,ASERRI,MORA,GOICOECHEA,SANTA ANA,ALAJUELITA,VAZQUEZ DE CORONADO,ACOSTA,TIBAS,MORAVIA,MONTES DE OCA,TURRUBARES,DOTA,CURRIDABAT,PEREZ ZELEDON,LEON CORTES CASTRO,ALAJUELA,SAN RAMON,GRECIA,SAN MATEO,ATENAS,NARANJO,PALMARES,POAS,OROTINA,SAN CARLOS,ZARCERO,VALVERDE VEGA,UPALA,LOS CHILES,GUATUSO,CARTAGO,PARAISO,LA UNION,JIMENEZ,TURRIALBA,ALVARADO,OREAMUNO,EL GUARCO,CENTRAL,BARVA,SANTO DOMINGO,SANTA BARBARA,SAN RAFAEL,SAN ISIDRO,BELEN,FLORES,SAN PABLO,SARAPIQUI,LIBERIA,NICOYA,SANTA CRUZ,BAGACES,CARRILLO,CAÑAS,ABANGARES,TILARAN,NANDAYURE,LA CRUZ,HOJANCHA,PUNTARENAS,ESPARZA,BUENOS AIRES,MONTES DE ORO,OSA,QUEPOS,GOLFITO,COTO BRUS,PARRITA,CORREDORES,GARABITO,CENTRAL,POCOCI,SIQUIRRES,TALAMANCA,MATINA,GUACIMO
15 a 19,-8.53407249341869,-8.33833458364591,-9.559485466221219,-10.371264714760036,-10.567296996662959,-9.639957642075538,-8.832782759163127,-8.981186312627836,-8.345035958976977,-9.674137146223257,-9.79860706076097,-10.414015855926397,-8.287073750991276,-8.39908754347257,-8.175469227411611,-9.957924263674615,-11.679905854663136,-8.705459300424975,-11.116548654972549,-11.205211726384364,-8.968538557560048,-9.87888442185643,-9.546908595101998,-9.335038363171355,-8.958153411321348,-9.81198870975458,-9.82696130012861,-9.615384615384617,-9.0763374073332,-10.192813962558503,-10.666885138456497,-9.424614345231392,-11.280141682939012,-12.074226804123711,-10.95612477808775,-10.256445627733097,-10.35092684307344,-9.266675009385558,-10.021935837674802,-9.243062618044458,-9.783670621074668,-10.095786302109097,-9.545519304744266,-8.838017965807014,-8.948692152917506,-8.4860619128292,-9.27448677071097,-8.664823403496253,-8.960047003525265,-8.137208194378276,-8.837019671796963,-9.000299760191846,-10.792580101180437,-9.8861904607503,-9.196782326809942,-8.848000586445771,-10.016237061091942,-9.474137003978921,-9.798605731990705,-10.095407144441978,-9.059161873459326,-10.089962956429705,-11.302966101694915,-10.475929978118161,-9.74391223840967,-9.847946568139832,-11.438467271691,-10.329294812053433,-9.82843463226493,-9.299298575457373,-9.84393151169251,-10.435510012024887,-9.083181542197934,-9.647683397683398,-8.179083757519667,-9.778331584470095,-10.554264852306671,-10.519909580942445,-10.550517307446674,-9.891792568395264,-10.752740323988748
20 a 24,-9.945662934201554,-9.294823705926483,-9.986596515093925,-10.196196800482946,-9.899888765294772,-9.918813978115072,-9.399087619946515,-10.156811439311578,-8.987616494318909,-10.065065467105791,-10.176004391532576,-8.975237349515513,-9.988765530002643,-9.457387532253843,-12.435617634220865,-9.396914446002805,-9.502794939688144,-10.581889506374633,-9.533713621557142,-11.416938110749186,-10.029974636845745,-10.098864699486713,-9.733074623734858,-8.727621483375959,-9.09162283112193,-10.127732861311774,-9.71588916169765,-9.987593052109181,-9.296734121418554,-10.283005070202808,-10.84712436506636,-9.728634162819501,-8.505517460605786,-9.583505154639175,-8.445346183109308,-10.58752120952946,-10.534880430168387,-9.763066783464732,-9.953386344941048,-9.68182478570391,-10.104675505931612,-9.965373026937087,-10.053663864748065,-10.111306185760307,-9.904426559356137,-9.292058113866215,-9.481456620238294,-9.373885123082411,-10.017626321974147,-10.262029537875177,-9.509733972072164,-9.974520383693045,-9.051175276181299,-10.038585000486364,-8.6645055428823,-8.804017153538833,-8.40267911508017,-8.60307559952683,-9.620449264136328,-8.753050809851343,-8.073130649137223,-8.167225260186981,-8.866525423728813,-8.916849015317286,-8.608461726583517,-8.796362086116243,-8.930685255820071,-8.341099720410066,-8.797712461763533,-9.986260756381517,-8.687307439769686,-7.831860720447535,-9.483910139647843,-8.764478764478763,-9.671448403516889,-8.608779293459252,-8.8078643339181,-9.052338723700226,-9.017754502490739,-8.860759493670885,-9.292850906974488
25 a 29,-9.611280990826495,-8.653413353338335,-9.127373117010423,-8.047087232115906,-8.35496230379434,-8.782209671726084,-8.321535315400345,-9.344192817262158,-8.749308481211965,-9.218946635606608,-9.006072666140598,-7.9964764608006265,-8.852101506740683,-9.58079353801279,-11.187254474028808,-6.697054698457223,-7.766990291262135,-9.679633867276888,-7.849944180213797,-8.078175895765472,-9.29293250538669,-8.526132139877115,-8.650165189574702,-7.832480818414322,-8.706916856402607,-8.788212218341865,-9.189757979656262,-8.953680727874277,-8.645562011620918,-9.201930577223088,-9.618220547271832,-9.007994595203243,-6.698151764225058,-7.703092783505154,-7.633781384732437,-8.8066104757832,-8.935899250035376,-8.941308972594168,-7.979160954208939,-7.647827981984599,-8.080949057920446,-8.58479111390925,-8.937645438571497,-9.981761467264391,-9.225352112676056,-9.33312798398275,-9.291268109861834,-9.186585800927578,-8.744614179396788,-8.785135778942353,-9.193762103761085,-9.060251798561152,-7.932684034828097,-8.88427742291106,-7.872093488614079,-8.103947513103398,-7.996752587781611,-9.060113990751693,-8.68319132455461,-7.710228533392501,-6.840591618734592,-7.638031398835773,-7.88135593220339,-7.467177242888402,-8.280054501624567,-7.7163564018757995,-7.729405059406375,-8.589624106865486,-8.019683468546349,-9.36437920312387,-7.884236577604929,-6.650284937522874,-8.585306618093504,-8.108108108108109,-10.08792225821379,-8.298356068555439,-8.174102697833199,-7.901234567901234,-7.523310767658704,-7.574520212331564,-8.041517120962267
30 a 34,-8.326550366280221,-7.779444861215304,-8.188128913517515,-6.236039843042559,-6.810035842293908,-8.033886339569362,-7.951864086833411,-8.258858648583905,-8.62164347419039,-7.952445979596755,-7.390125913473085,-6.23470686111383,-8.363071636267511,-8.533712277027785,-8.821475338280226,-6.20617110799439,-6.5901735804648425,-7.992808107224583,-6.1677040480814815,-5.4397394136807815,-8.382562235137907,-7.041897393107284,-7.942209869421574,-6.745524296675192,-7.560650074585852,-7.018131368703057,-7.12615456564948,-7.947339398952302,-6.882388298938088,-7.454173166926677,-6.849090611174832,-7.240175655894607,-6.253122019890105,-6.845360824742268,-6.124778087750444,-7.91684484970548,-7.2697042592330545,-8.530430067158887,-6.594461200987113,-6.5814325148917625,-7.285415212840195,-7.456041732248055,-8.396257776511373,-8.503928954949119,-8.888329979879275,-7.905949997433133,-8.25082508250825,-8.526578665715306,-7.638072855464159,-8.8804192472606,-8.949138721842829,-9.075239808153478,-7.061981622328527,-8.326578256217374,-6.843558650498259,-7.975662500458161,-6.860158311345646,-7.672868050327993,-7.195972114639815,-6.456623030840915,-6.7686935086277735,-6.226847768565884,-7.372881355932204,-6.181619256017505,-7.176047234741293,-6.956089242574961,-6.357139725546933,-6.446101273687481,-7.035510041228887,-7.650589341239425,-7.06096267488257,-5.6987504574685,-7.844565877352763,-6.94980694980695,-9.775566867191115,-6.324326687653025,-7.18631959919713,-6.593635889410537,-7.216758206667519,-7.727643936300531,-6.6398292753904355
35 a 39,-6.603310087921919,-6.969242310577645,-6.697741412767319,-5.680651977060067,-5.277468792485478,-6.621955524179316,-7.3462324996067325,-6.4954209585582925,-8.174815949614878,-6.458350068278576,-6.590729749202319,-6.0585299011451506,-7.193365054189796,-7.509068471635317,-6.0803142732431255,-6.171107994389901,-4.883789349808768,-6.685191238966983,-5.574332074202084,-5.390879478827362,-6.998322374436484,-6.078535487622949,-6.342755257223766,-5.434782608695652,-6.618512993640575,-6.042194900253552,-5.863439728750146,-6.375792666115247,-6.772189941895412,-6.125682527301092,-5.669342946092086,-4.830537101677739,-6.230416420689342,-5.814432989690721,-6.086735987826528,-6.548399111613855,-6.2862600820716,-7.283193592791891,-6.950918563202632,-5.965422054336772,-6.4200976971388695,-6.938885641048703,-7.569929239682765,-7.300526701552832,-7.017102615694165,-6.915139380871708,-7.003412205627342,-7.037103103817338,-6.962397179788485,-7.041448308718437,-8.062378962389156,-7.8911870503597115,-6.872698489176446,-6.7734509257157685,-6.407331812542521,-6.729465234761574,-6.4136391313172325,-6.43617593289601,-6.243222308288149,-6.07943199467495,-5.864831552999179,-6.279767154701006,-6.504237288135593,-7.0568927789934355,-6.409181427523321,-6.146084979394628,-5.92748476478583,-7.3780677228953095,-6.270780688921398,-6.970858341167113,-6.222536491742007,-5.714435091755111,-6.812386156648452,-6.206563706563706,-7.8204534937528924,-6.177859391395593,-6.709022805936181,-6.781429316640584,-6.488695874313451,-7.324418129848918,-6.615578620622757
40 a 44,-6.183132777496682,-7.104276069017254,-6.487686798567628,-6.755206761243586,-6.4021752564577925,-6.745499470525944,-6.937234544596508,-6.193222650131751,-7.242861398357377,-6.206656491819959,-7.191134593611692,-7.409219927571694,-6.502775574940524,-6.551737033020455,-5.65691837625491,-6.626928471248247,-6.031185642836128,-6.5576985943118675,-6.407805594213094,-6.905537459283388,-6.667567760966185,-6.46539735517965,-6.610205044837169,-6.202046035805626,-6.532150427887258,-6.353155049514424,-6.313574184496668,-6.575682382133994,-6.732117812061711,-5.9794266770670825,-6.619695231853187,-6.699695980182412,-5.780845556514237,-5.649484536082474,-5.985290388029419,-6.479425032072947,-6.424225272392811,-7.049597463813456,-7.362215519605154,-6.453581287229405,-6.573621772505234,-6.601609929396951,-6.677114498741512,-6.674962074079124,-6.715291750503018,-6.956209250988243,-7.16563181741903,-6.840884766321798,-6.962397179788485,-6.469747498808958,-6.941188461930486,-7.344124700239808,-6.012320611212445,-5.758568139813884,-6.531396326089567,-6.931055968918375,-6.058453419930992,-6.344768254651038,-6.367157242447714,-7.02240958508986,-6.974116680361544,-6.632563062268478,-5.625,-6.673960612691467,-6.555916570590085,-6.6647719198522095,-5.984479810601079,-6.756756756756757,-6.343928713924724,-6.84792826668595,-6.505379059548462,-6.279081926073091,-6.715239829993928,-6.462355212355213,-6.698287829708469,-5.895855194123819,-6.340777266764655,-6.318901060685097,-5.754247030272065,-6.400571661902818,-6.644679406343972
45 a 49,-5.89201516451445,-6.627906976744185,-6.202612679296617,-6.513733776033806,-6.4268940798418,-6.3325097070243554,-6.654082114204813,-6.31483904254731,-6.932209881271543,-5.992449192706242,-7.084777164030603,-6.244494470000979,-6.033571239756807,-6.2263939269286865,-6.158882584024443,-6.802244039270687,-7.031479847013827,-6.47924158221641,-5.8083163834895775,-7.361563517915309,-6.1436079285697245,-6.275759184808718,-6.442393413393466,-6.745524296675192,-6.280913872968517,-6.223986987513754,-6.6818660119256394,-6.120760959470637,-6.371468643558405,-5.63085023400936,-6.504997542192364,-6.587096047742372,-5.204123336814859,-4.8164948453608245,-5.947248288105503,-6.192492861182767,-6.2119711334371015,-6.417636507737871,-6.375102824239101,-6.805172163300886,-7.020237264480111,-6.498178711157081,-6.42541672602935,-6.463599638638416,-6.388329979879276,-6.6122490887622565,-6.382502657045365,-6.497502675704602,-6.668625146886016,-6.908051453072892,-6.451941698093975,-6.3549160671462825,-5.348108889424235,-5.330566453746636,-6.351302677392244,-6.428911776564162,-6.322305662675055,-6.092052908914937,-5.824941905499613,-6.412247614821388,-6.35784716516023,-6.54436408537661,-4.989406779661016,-6.75601750547046,-5.930545365615065,-6.345033394912606,-5.120785654785392,-6.088847468157813,-5.605798643436627,-6.189890809169137,-5.581089954038083,-5.939248183196528,-6.0109289617486334,-5.70945945945946,-5.344747801943544,-5.589804127317244,-5.6896306481437575,-5.734654842636063,-4.6876995784902284,-5.374642711310739,-5.7668057037540015
50 a 54,-5.529034765455998,-5.825206301575394,-5.34138876107788,-5.922124962269846,-5.648251143245582,-5.531238969290505,-5.6079911908132765,-5.712285098306584,-5.974722328609728,-4.723270945457466,-6.161869146052767,-5.500636194577665,-5.395849854612742,-5.9234882764294525,-6.041030117852466,-6.486676016830295,-6.119446896145925,-5.822164105916967,-5.181299606967533,-5.570032573289902,-5.507541364203764,-5.646160459177223,-5.328019298337616,-6.042199488491049,-5.825547617178299,-5.846050806104388,-6.348649596632761,-5.148883374689826,-5.6000801442596675,-4.608278081123244,-5.669342946092086,-5.697556581466051,-4.8453748694428045,-4.420618556701031,-4.71722039056556,-5.337214274875502,-5.670723079100042,-5.086972844450006,-6.059775157663833,-5.9683277640563706,-4.703419399860433,-5.081620722219724,-4.810751769007931,-5.301106243714524,-5.7494969818913475,-6.104009446070126,-5.744811769312524,-5.855333571173742,-6.325891108499803,-6.793711291090995,-5.667108347772908,-5.5905275779376495,-4.243383694118457,-4.669109302551798,-5.510865650138072,-5.857127148773962,-4.8102293484879235,-5.290891493709001,-5.17428350116189,-5.21411138229421,-5.875102711585867,-5.380137590403952,-3.8135593220338984,-5.908096280087528,-5.2230723544003075,-5.59187153616598,-4.449997807882853,-5.187946567256912,-5.240058518420003,-5.061826596283173,-5.4043133491590485,-5.13933183457939,-5.258044930176077,-4.816602316602316,-4.1416011105969455,-4.973329835606856,-4.893082357403632,-4.997391757955139,-3.5700600332098604,-4.706002449979583,-4.408769036763992
55 a 59,-4.462825674080266,-5.0975243810952735,-4.2501050273071,-4.479323875641413,-3.6336670374490176,-3.8792799152841515,-4.333805254050653,-4.641692310527189,-3.8980382143921015,-3.644201676172116,-4.576800356812022,-4.2673974747969075,-5.03899021940259,-4.801615496802662,-5.3775643823657795,-4.628330995792426,-3.6775522212415415,-4.74664923177509,-3.962440165777118,-4.071661237785016,-4.117735921064139,-4.25548054312372,-4.190046672609996,-5.274936061381074,-4.726387689408809,-3.9468018944649095,-4.062901905764059,-4.232147780534877,-4.24764576237227,-3.3163514040561624,-3.768638374569884,-4.436437338137597,-3.6192725126016074,-3.3319587628865976,-4.324118691351762,-4.134306327682057,-3.926701570680628,-3.9294205981729444,-4.236358650945983,-4.489321516780474,-4.21493370551291,-3.8584341412960383,-3.718478415728736,-4.184635314572076,-4.572434607645875,-4.943785615277991,-3.9324271410191867,-4.539778808419551,-4.690560125342734,-5.011910433539781,-3.8426256242992562,-4.721223021582734,-3.5241077881405514,-3.9363185370124185,-4.618401568815784,-4.383682146391526,-4.008524457073269,-4.038068609527906,-3.9426800929512007,-4.1934768138451295,-4.69391947411668,-4.498147821485271,-3.3580508474576267,-4.102844638949672,-4.318205638821927,-4.163706124769078,-3.218027971414793,-4.473438956197577,-4.295784013831627,-3.9265312025453754,-3.878983787059952,-3.9734406859413394,-4.007285974499089,-3.721042471042471,-2.8574733919481723,-4.138247639034628,-3.8341788756657653,-3.8984524430533822,-3.174096308596245,-3.4197631686402614,-3.424192453196236
60 a 64,-3.4530802003358487,-3.7509377344336086,-3.099805949546882,-3.4289163899788715,-2.817945865776789,-2.802682668549241,-3.468617272298254,-3.4439551124951633,-3.0341716668794416,-2.658848100249016,-3.283356777712972,-3.28863658608202,-4.308749669574412,-3.750794659885569,-4.177215189873418,-3.611500701262272,-3.2068255369226244,-3.6155606407322654,-3.0402667115264035,-2.5081433224755703,-3.0133653486837395,-3.127765556651243,-3.2828150401174683,-3.804347826086957,-4.082594017429536,-3.138305506386643,-3.3964690751783,-2.846705266060105,-2.9252654778601483,-2.4778178627145087,-2.834671473046043,-2.8938182637090417,-2.8609054992961265,-2.5237113402061855,-3.0180065939639866,-2.903808748672249,-2.6531767369463704,-2.8386101030325785,-2.7693995064436523,-3.361906145576057,-3.098394975575715,-2.887080091738994,-2.816165645628532,-3.1925954966164967,-3.2796780684104623,-4.18399301812208,-3.0989539631929293,-3.2376025686764183,-3.0943987465726597,-3.5254883277751308,-3.169911324024054,-3.207434052757794,-2.6361978180817016,-2.483706753996304,-3.6498979469324047,-3.2364476047355497,-2.7907448751775927,-2.8443918700935584,-2.811773818745159,-3.439094741513202,-3.9749383730484795,-3.5985182571882164,-2.36228813559322,-3.446389496717724,-3.205464137232296,-3.510018473781441,-2.52093471875137,-3.463808636222429,-3.5111052001595957,-2.4875262130305877,-3.1567250871256123,-2.85460344016312,-3.060109289617486,-3.011583011583012,-2.279037482646923,-2.944648478488982,-2.969671107739478,-2.903842809946096,-2.286371184059267,-2.4244589628419764,-2.648171500630517
65 a 69,-2.6347243915495233,-2.985746436609152,-2.1785664272710905,-2.825233926954422,-2.0763811642565813,-2.156724320508295,-2.7214094698757276,-2.5723709668503196,-2.3532916294310398,-1.7431118965378745,-2.4084811472878855,-2.623079181755897,-3.1886069257203276,-3.0028794734677087,-3.1252728066346576,-2.805049088359046,-2.530155928214181,-2.765609676364825,-2.3444310205080363,-2.1498371335504887,-2.229413308102693,-2.6018356974891907,-2.504064187949027,-3.324808184143223,-3.4230980607678414,-2.4589771803090468,-3.0632526598854204,-2.4193548387096775,-2.664796633941094,-1.9452028081123243,-2.3594953301654926,-2.330818601508839,-2.343217837518732,-1.8969072164948455,-2.6122241947755516,-2.4803079002910704,-2.3206452525824255,-2.0481374880073417,-2.6871401151631478,-2.7197442975446755,-2.6238660153524074,-2.3024688582092905,-2.0135821816972976,-2.1886239282731346,-2.152917505030181,-2.9313619795677393,-2.153605191027577,-2.3635390652871924,-2.2718370544457502,-2.7727489280609814,-2.3646926918764652,-2.1357913669064748,-1.8308841243073959,-1.5920365746895366,-3.0776003521831354,-2.4777333870908627,-2.3746701846965697,-2.1668996666308207,-2.0139426800929514,-2.4850232970934103,-3.1737880032867705,-3.17516316810725,-2.0233050847457625,-3.3096280087527354,-2.30933165636027,-2.7142248117095353,-2.0562058836424217,-3.0288909599254428,-2.673227822848783,-2.010268276809603,-2.3536542249608567,-2.530454331573169,-1.8822100789313905,-2.157335907335907,-1.4345210550670986,-1.9456103532703741,-2.092519716150649,-2.0483394192314384,-1.7690637373866396,-1.6180073499387506,-2.0516053933456204
70 a 74,-2.0906204398295825,-2.1342835708927232,-1.5394002440634567,-2.505282221551464,-1.7550364602644914,-1.4366396046593717,-1.9348749410099102,-1.8629420110928891,-1.6383675901102175,-1.124588320347016,-1.6193776374927094,-2.153273955172751,-2.3195876288659796,-2.0904229460379193,-2.2173723264949805,-2.279102384291725,-2.118270079435128,-1.8437397842432166,-1.7403538821514322,-1.514657980456026,-1.7030682260898604,-2.0253356595615566,-1.7122030520740468,-2.557544757033248,-2.3553427023631937,-1.7892168588240922,-2.33836080907284,-1.6542597187758479,-1.9635343618513323,-1.390649375975039,-1.8023922660986398,-2.0493187704087377,-1.8436946551019482,-1.4597938144329896,-1.6865330966269336,-1.8209156998799854,-1.5070043865855385,-1.4099194927626912,-2.166163970386619,-2.144413773064071,-1.926029309141661,-1.6144264064397178,-1.3962102863655792,-1.6721495900591472,-1.5140845070422535,-2.192104317470096,-1.611008558482967,-1.7525865144488049,-1.8311790050920485,-2.020009528346832,-1.773519518907349,-1.61121103117506,-1.4970575076573631,-1.329399176420998,-2.517309000680354,-2.030568485870322,-1.958595494215547,-1.6937305086568446,-1.6653756777691713,-2.1854892389616154,-2.4650780608052587,-2.6106897159992943,-1.3665254237288136,-2.4890590809628006,-1.844670369982182,-2.323433281227796,-1.5520189398921478,-2.485243864554209,-1.988296315999468,-1.4462361703666209,-1.8384766907419567,-2.0337742458305015,-1.785063752276867,-1.636100386100386,-0.9370661730680241,-1.5827212311997203,-1.5314589161253616,-1.519735698139454,-0.9707497764720909,-1.1535320538995508,-1.6344941313415462
75 a 79,-1.5509162505224718,-1.5116279069767442,-1.1142897153259848,-1.756715967401147,-1.2112223458163391,-0.9777620896576068,-1.4157621519584709,-1.321196263059942,-1.1830290650665987,-0.8836051088440839,-1.067005180636086,-1.6736811197024568,-1.7149088025376686,-1.3387681836879697,-1.5757311217808816,-1.6129032258064515,-1.1768167107972933,-1.3991500490356326,-1.3274403951735003,-0.9446254071661238,-1.164796895995166,-1.4109079875597361,-1.263831349310399,-2.0140664961636827,-1.6722933186778675,-1.401712672822083,-1.3679410733076114,-1.2062310449407223,-1.1120016028851933,-0.9872269890795631,-1.2780599705063085,-1.4074991555005067,-1.326006993324554,-0.9731958762886598,-1.3568348972863302,-1.2029079471934445,-1.100183953587095,-0.9302131564676929,-1.782286811077598,-1.7957286067121894,-1.2561060711793441,-0.9128929262040743,-1.0210381345870732,-1.048289498355123,-1.0714285714285714,-1.4477129216078855,-1.079599485372266,-1.2442026400285409,-1.3709361535448492,-1.124344926155312,-1.1619610641117113,-1.191546762589928,-0.936091131224834,-0.9889432897765961,-1.5768199463721135,-1.381812850492981,-1.2989648873553887,-1.3657382514248844,-1.053446940356313,-1.5420457066785,-2.0439605587510274,-1.5346621979185042,-0.9110169491525424,-1.75054704595186,-1.238514481361143,-1.4921131163848231,-1.1135955105440833,-1.7707362534948743,-1.5693576273440617,-0.9545158724419698,-1.2222839537350372,-1.568463428661055,-1.2507589556769885,-1.4285714285714286,-0.7635354002776492,-1.0383875480937392,-0.9261454332811784,-1.0363415058250738,-0.8685655894750288,-0.7707227439771336,-0.9894267145212922
80 a 84,-1.1784030329028898,-1.0090022505626406,-0.794206493688359,-1.1952912767884092,-0.9145964652082561,-0.6847864454641722,-0.9595721252162969,-1.0392673533693269,-0.8340780458742925,-0.6051356199962513,-0.6896078498644801,-1.2234511108936088,-1.1465767909066877,-0.9386335589544146,-1.3836752509821038,-1.0518934081346423,-1.1473962930273611,-0.9447531873161163,-0.9022924345073331,-0.993485342019544,-0.798263538279281,-0.8950921641508004,-0.7446641145314385,-1.374680306905371,-1.0520530737222267,-0.937664450078936,-0.9002689114930434,-0.7306313757926661,-0.8815868563414146,-0.6630265210608425,-0.9175815172865803,-0.9908794054723568,-0.9854230053131102,-0.6927835051546392,-0.8622875982754248,-0.921493702666538,-0.9339182114051224,-0.5860760021691069,-1.0830819851933096,-1.1477553392416098,-0.7536636427076064,-0.7240185276790934,-0.6601130265469916,-0.8727223140777609,-0.7042253521126761,-1.006211817855126,-0.7887229400906193,-0.8428469496967534,-0.7833920877399139,-1.1148165793234874,-0.7746407094078076,-0.6969424460431655,-0.6125890491103693,-0.6841542103044649,-1.264657621963421,-1.0372759593886303,-0.8625938705094378,-0.8549306377029788,-0.7436096049573974,-0.9318837364100288,-1.1092851273623665,-1.1642264949726584,-0.7838983050847457,-0.9846827133479212,-0.8157775215735596,-0.9663208753730282,-0.6839405497829804,-0.97856477166822,-1.0307221705013965,-0.7375804468869767,-1.0152027880195968,-0.9201652114811523,-0.7893139040680024,-0.9604247104247103,-0.3007866728366497,-0.6689401888772298,-0.5863480473503706,-0.6816205877238741,-0.6003320986077404,-0.5818701510820743,-0.7517702977980405
85 y más,-0.7992901716640635,-0.6976744186046512,-0.5321383559725529,-1.0866284334440086,-0.5808923495241627,-0.430638898693964,-0.7157464212678937,-0.7794505150269951,-0.6127920337035618,-0.42841459822743455,-0.5043400693038735,-1.0081237153763336,-0.7500660851176315,-0.6357279084551812,-0.947184635530336,-0.9467040673211781,-0.617828773168579,-0.6211180124223602,-0.7157167107617489,-0.4885993485342019,-0.6638944765569716,-0.7509671546688917,-0.6738685825161257,-1.278772378516624,-0.840072230509539,-0.7893603788929818,-0.7833508710394014,-0.6134546457127102,-0.8114606291324384,-0.6081805772230889,-0.6062592167786335,-0.5404796757121946,-0.7311202942645656,-0.6185567010309279,-0.4945472990109054,-0.5959360472334496,-0.4952596575633225,-0.29616652066908605,-0.5895256375102824,-0.8746186255993027,-0.43265875785066293,-0.5216531006880424,-0.34192904972218263,-0.6136328770859256,-0.5482897384305835,-0.6930540582165409,-0.682441125468479,-0.6287905815198002,-0.754014884449667,-0.9242496426869938,-0.6930995821017225,-0.5695443645083933,-0.4370719620057129,-0.5868810998346358,-1.1926201624844919,-0.9493090935747536,-0.6190379541303024,-0.7420152704591892,-0.6816421378776143,-0.7543820723319281,-1.0065735414954808,-1.1995060857294055,-0.7203389830508474,-1.0940919037199124,-0.6882576948607764,-0.7389512576381981,-0.5743346924459644,-1.0872941907424665,-0.8245777364011171,-0.5712632872948152,-0.7323602202131421,-0.7685470800439169,-0.7043108682452945,-0.8108108108108109,-0.2776492364645997,-0.5683805526407835,-0.5468367234049278,-0.5425143453312468,-0.4598288414867799,-0.45426704777460186,-0.48016296440003875
